algoritmo,tipo,tamanho,comparacoes,tempo
bubble,sorted,1000,499500,0.002000
bubble,sorted,10000,49995000,0.087000
bubble,sorted,100000,4999950000,7.795000
bubble,sorted,500000,124999750000,192.131000
bubble,sorted,1000000,499999500000,773.138000
bubble,random,1000,499500,0.001000
bubble,random,10000,49995000,0.116000
bubble,random,100000,4999950000,18.285000
bubble,random,500000,124999750000,299.670000
bubble,random,1000000,499999500000,999.118000
bubble,reverse,1000,499500,0.002000
bubble,reverse,10000,49995000,0.144000
bubble,reverse,100000,4999950000,14.141000
bubble,reverse,500000,124999750000,352.355000
bubble,reverse,1000000,499999500000,1415.586000
insertion,sorted,1000,999,0.000000
insertion,sorted,10000,9999,0.000000
insertion,sorted,100000,99999,0.000000
insertion,sorted,500000,499999,0.002000
insertion,sorted,1000000,999999,0.002000
insertion,random,1000,250170,0.000000
insertion,random,10000,25825013,0.045000
insertion,random,100000,2632133853,4.623000
insertion,random,500000,22149120770,38.640000
insertion,random,1000000,46745909839,81.512000
insertion,reverse,1000,499500,0.001000
insertion,reverse,10000,49995000,0.089000
insertion,reverse,100000,4999950000,8.737000
insertion,reverse,500000,124999750000,217.707000
insertion,reverse,1000000,499999500000,871.271000
merge,sorted,1000,5044,0.000000
merge,sorted,10000,69008,0.003000
merge,sorted,100000,853904,0.017000
merge,sorted,500000,4783216,0.081000
merge,sorted,1000000,10066432,0.161000
merge,random,1000,8706,0.000000
merge,random,10000,120458,0.003000
merge,random,100000,1536218,0.020000
merge,random,500000,8836256,0.108000
merge,random,1000000,18533963,0.218000
merge,reverse,1000,4932,0.000000
merge,reverse,10000,64608,0.002000
merge,reverse,100000,815024,0.015000
merge,reverse,500000,4692496,0.078000
merge,reverse,1000000,9884992,0.159000
quick,sorted,1000,7987,0.000000
quick,sorted,10000,113631,0.000000
quick,sorted,100000,1468946,0.004000
quick,sorted,500000,8475732,0.021000
quick,sorted,1000000,17951445,0.050000
quick,random,1000,10273,0.000000
quick,random,10000,131417,0.001000
quick,random,100000,1724459,0.009000
quick,random,500000,11198700,0.054000
quick,random,1000000,26945865,0.102000
quick,reverse,1000,14205,0.000000
quick,reverse,10000,218585,0.000000
quick,reverse,100000,2940915,0.009000
quick,reverse,500000,17564390,0.044000
quick,reverse,1000000,37574450,0.089000
