algoritmo,tipo,tamanho,comparacoes,tempo
bubble,sorted,1000,499500,0.001000
bubble,sorted,10000,49995000,0.077000
bubble,sorted,100000,4999950000,7.898000
bubble,sorted,500000,124999750000,196.381000
bubble,sorted,1000000,499999500000,776.580000
bubble,random,1000,499500,0.001000
bubble,random,10000,49995000,0.112000
bubble,random,100000,4999950000,18.389000
bubble,random,500000,124999750000,301.766000
bubble,random,1000000,499999500000,998.678000
bubble,reverse,1000,499500,0.002000
bubble,reverse,10000,49995000,0.142000
bubble,reverse,100000,4999950000,14.210000
bubble,reverse,500000,124999750000,353.094000
bubble,reverse,1000000,499999500000,1415.561000
insertion,sorted,1000,999,0.000000
insertion,sorted,10000,9999,0.000000
insertion,sorted,100000,99999,0.001000
insertion,sorted,500000,499999,0.002000
insertion,sorted,1000000,999999,0.002000
insertion,random,1000,250170,0.001000
insertion,random,10000,25825013,0.045000
insertion,random,100000,2632133853,4.600000
insertion,random,500000,22149120770,38.574000
insertion,random,1000000,46745909839,81.545000
insertion,reverse,1000,499500,0.001000
insertion,reverse,10000,49995000,0.090000
insertion,reverse,100000,4999950000,8.717000
insertion,reverse,500000,124999750000,218.392000
insertion,reverse,1000000,499999500000,872.266000
merge,sorted,1000,5044,0.000000
merge,sorted,10000,69008,0.001000
merge,sorted,100000,853904,0.007000
merge,sorted,500000,4783216,0.037000
